date,buy/sell,symbol,shares,price,account
10/9/2006,buy,usg,80,48.82,firstrade-meng
10/9/2006,buy,usg,120,48.83,firstrade-chao
6/7/2007,buy,QID,120,48.26,firstrade-meng
6/12/2007,sell,QID,120,48.14,firstrade-meng
6/20/2007,buy,rvbd,120,44.71,firstrade-meng
6/25/2007,buy,bx,120,33.41,firstrade-chao
6/28/2007,buy,bx,500,33.93,fidelity-chao
7/16/2007,sell,rvbd,120,47.53,firstrade-meng
7/20/2007,buy,jav,500,5.29,firstrade-meng
7/27/2007,buy,QLD,30,96.77,firstrade-meng
7/27/2007,buy,QLD,30,97.89,fidelity-chao
7/30/2007,sell,QLD,30,98.46,fidelity-chao
8/9/2007,sell,jav,500,5.41,firstrade-meng
8/23/2007,buy,ont,1000,1.39,firstrade-meng
8/23/2007,buy,ont,1400,1.38,firstrade-meng
9/5/2007,sell,QLD,30,100.51,firstrade-meng
9/14/2007,buy,ont,1000,1.33,firstrade-meng
10/9/2007,sell,ont,3400,1.63,firstrade-meng
10/18/2007,buy,shi,50,98.75,firstrade-meng
11/6/2007,buy,bx,100,23.52,firstrade-meng
11/8/2007,sell,bx,100,24.03,firstrade-meng
11/14/2007,buy,vmw,20,87.48,firstrade-meng
11/19/2007,buy,shi,150,58.47,fidelity-meng
11/202007,sell,shi,150,60.23,fidelity-meng
11/27/2007,buy,QLD,100,98.36,fidelity-meng
11/27/2007,sell,QLD,100,98.8,fidelity-meng
11/27/2007,buy,FXP,100,80.89,fidelity-meng
11/29/2007,sell,FXP,100,71.5,fidelity-meng
11/29/2007,sell,vmw,20,91.43,firstrade-meng
12/11/2007,buy,FFHL,300,7.1,firstrade-meng
12/11/2007,sell,FFHL,300,7.55,firstrade-meng
12/13/2007,buy,SYNA,100,53.9,tradeking
12/17/2007,buy,LDK,50,67,tradeking
12/17/2007,sell,LDK,50,67.54,tradeking
12/17/2007,buy,BX,100,23.16,tradeking
12/18/2007,sell,BX,100,23.43,tradeking
2/22/2008,buy,GA,200,10.5,firstrade-meng
3/6/2008,buy,JASO,150,14.98,firstrade-chao
3/18/2008,sell,JASO,150,15.9,firstrade-chao
3/31/2008,sell,GA,200,12.15,firstrade-meng
4/3/2008,buy,FXP,30,76.4,firstrade-meng
4/10/2008,buy,FXP,50,78.49,firstrade-meng
4/10/2008,sell,FXP,50,80.25,firstrade-meng
4/16/2008,buy,UWM,80,50.2,firstrade-meng
4/18/2008,sell,UWM,80,52.2,firstrade-meng
4/18/2008,buy,FXP,80,75.4,firstrade-chao
4/21/2008,buy,FXP,50,73.6,firstrade-meng
6/9/2008,sell,FXP,50,75.2,firstrade-meng
6/10/2008,sell,FXP,80,80,firstrade-chao
6/11/2008,sell,FXP,30,82.5,firstrade-meng
6/11/2008,buy,JPM,100,37.94,firstrade-meng
6/13/2008,sell,JPM,100,39.22,firstrade-meng
6/17/2008,buy,JPM,180,39,firstrade-chao
6/18/2008,buy,FMD,1000,4.25,firstrade-meng
6/23/2008,buy,JPM,80,36.74,firstrade-meng
7/17/2008,sell,JPM,180,40,firstrade-chao
7/28/2008,buy,GA,40,10,firstrade-meng
7/28/2008,buy,GA,200,10,firstrade-chao
7/30/2008,buy,SOLF,200,13.72,firstrade-chao
7/31/2008,sell,SOLF,200,13.9,firstrade-chao
8/4/2008,buy,LDK,100,32,firstrade-chao
8/5/2008,buy,C,100,19.83,firstrade-chao
8/11/2008,sell,LDK,100,34.4,firstrade-chao
8/11/2008,sell,C,100,20.1,firstrade-chao
8/18/2008,sell,FMD,1000,4.4,firstrade-meng
8/20/2008,buy,ABK,100,5.5,firstrade-chao
8/20/2008,buy,LDK,100,45,firstrade-chao
8/20/2008,buy,FRE,100,3.7,firstrade-chao
8/20/2008,buy,C,200,17.38,firstrade-meng
8/20/2008,sell,C,200,17.5,firstrade-meng
8/20/2008,sell,LDK,100,49.6,firstrade-chao
8/20/2008,sell,FRE,100,3.94,firstrade-chao
